years,Arctic_obs,Arctic_model,Globe_obs,Globe_model,IPO,AM
1965,-0.366927573,-0.318768805,-0.176590968,-0.172630854,-0.00126,0.5011
1966,-0.316498142,-0.340220516,-0.163024511,-0.157460446,-0.01247191,0.801299578
1967,-0.134485817,-0.317355051,-0.125982116,-0.131549787,-0.041080961,0.933404476
1968,-0.131972758,-0.272884796,-0.107223633,-0.105823912,-0.112685854,0.737158081
1969,-0.092557118,-0.229748879,-0.094127999,-0.080523958,-0.250777586,0.755096693
1970,-0.151166891,-0.194033061,-0.099021214,-0.057400558,-0.433666811,0.633567575
1971,-0.110288774,-0.171086773,-0.09283333,-0.041366511,-0.61015917,0.684277895
1972,-0.112733561,-0.151909627,-0.081170624,-0.036463988,-0.549773418,0.548269298
1973,-0.060474886,-0.127714403,-0.065103675,-0.038264181,-0.849966456,0.483292821
1974,-0.055990344,-0.092134588,-0.091914382,-0.039595442,-1.057783448,0.386835235
1975,0.000670792,-0.054758081,-0.091084776,-0.035999832,-1.062751784,0.321715559
1976,0.003057648,-0.019839863,-0.077550485,-0.021081898,-0.49618068,0.151081598
1977,-0.055177016,0.015782414,-0.00412744,0.002745823,0.089398644,-0.228633181
1978,-0.140631712,0.054322558,0.04770514,0.032997328,0.427639642,-0.559390148
1979,-0.070034459,0.092190512,0.116271008,0.062580969,0.50249601,-0.568457097
1980,0.104715974,0.126267143,0.148588456,0.083419788,0.561180111,-0.294071665
1981,0.253492704,0.127116368,0.17534553,0.084028606,0.723674362,-0.024785769
1982,0.188220033,0.107978829,0.152554932,0.06954151,0.891533256,-0.07214123
1983,0.181582264,0.073817884,0.134868324,0.051120244,0.731109075,-0.017856119
1984,0.175505907,0.103156981,0.099679284,0.057641944,0.353245004,-0.065377361
1985,0.1725072,0.190555564,0.106227502,0.085386839,0.228124383,-0.299107023
1986,0.092309091,0.322015371,0.140121696,0.130291989,0.3153156,-0.769356064
1987,0.066833146,0.449272949,0.197165702,0.174592962,0.357159505,-1.144162681
1988,0.235906829,0.554332257,0.247771881,0.21572784,-0.000216605,-0.976770315
1989,0.416860336,0.652101229,0.275940339,0.248609099,-0.132046736,-0.6698701
1990,0.502221373,0.678580813,0.289367773,0.242805468,0.133057882,-0.420831297
1991,0.459071966,0.638006355,0.267290249,0.198103811,0.676035118,-0.569338472
1992,0.342362502,0.531543912,0.228452142,0.129444084,1.020946173,-0.877045277
1993,0.456246546,0.47932945,0.222600806,0.105446196,1.00074921,-0.804082036
1994,0.610343125,0.519149637,0.251376894,0.136112005,0.685163056,-0.518692095
1995,0.856588121,0.630543595,0.310664248,0.206217565,0.512396827,-0.161186421
1996,0.876902739,0.756087544,0.362721806,0.272726686,0.52561262,-0.255941737
1997,0.82676754,0.859916845,0.40616533,0.324720376,0.585890813,-0.52492964
1998,0.767843142,0.961979315,0.421881257,0.366911987,0.146473221,-0.718322696
1999,0.779651538,1.079313039,0.407549346,0.409843605,-0.493374072,-0.76312457
2000,0.927431998,1.209750791,0.415183085,0.452370689,-0.762994192,-0.651564955
2001,1.090268387,1.334649626,0.455376412,0.49322798,-0.505429993,-0.604812353
2002,1.175150565,1.428227602,0.504266766,0.523267446,-0.001797853,-0.770616879
2003,1.24721154,1.493485046,0.533298,0.547234601,0.2231733,-0.829587374
2004,1.316629184,1.544990362,0.541136099,0.564529493,0.26961283,-0.699060152
2005,1.633346689,1.59718995,0.564674002,0.580151441,0.06621554,0.013576604
2006,1.822837158,1.662110356,0.565343474,0.595023577,-0.205150872,0.457652731
2007,1.927308355,1.739741548,0.5659974,0.611111043,-0.459705402,0.616382238
2008,1.856706086,1.816147603,0.560063677,0.628996588,-0.583562116,0.418359623
2009,1.924383391,1.881895082,0.579582604,0.65088111,-0.665116176,0.50018749
2010,2.124765756,1.924825178,0.594023411,0.67697431,-0.820117454,0.927962691
2011,2.221966481,1.957634422,0.594300008,0.705120196,-0.910512246,1.098273582
2012,2.185657363,1.994792601,0.599344151,0.731582599,-0.696613868,0.894646603
2013,2.018300907,2.047614729,0.63366797,0.756311337,-0.161568465,0.220657533
2014,2.143940378,2.113331116,0.711442781,0.780242281,0.501509863,0.151903473
2015,2.364842879,2.162221829,0.795771398,0.800780789,0.905169761,0.336103322
2016,2.645530949,2.195551604,0.848780045,0.819085487,0.817289267,0.771920275
2017,2.655228285,2.230268257,0.859911165,0.838384409,0.491233271,0.61900486
2018,2.651622195,2.291080672,0.860596221,0.862356824,0.12138454,0.53024238
2019,2.604258456,2.385252826,0.865983113,0.893379778,-0.162894241,0.414889135
2020,2.578185319,2.494826099,0.866709157,0.928408925,-0.39516,0.201581